ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.66,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.66,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.66,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.65,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,6
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,15
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.66,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,78
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,30
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,35
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,35
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.65,100
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.66,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.66,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,1
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,1
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.67,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,75
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,75
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.7,25
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Amendment,0.7,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.7,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,3.4,7
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,96
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,5
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,34
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.7,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.71,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.71,100
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,4
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,6
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.7,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,10
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.72,4
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,110
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1.06,110
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1.06,56
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,18
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,4
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.7,60
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,17
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.71,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,4
CORRECT,C,PC,Credit:Index:CDX:CDXIG,Trade,0.73,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,50
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1.06,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,45
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,45
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,20
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,4
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.72,100
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.71,12
