ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,1,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.81,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.81,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.78,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.7,9
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,10
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.78,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.7,30
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.76,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Novation,0.76,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.02,30
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.79,9
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,5
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,3
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,3
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.79,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.34,20
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,60
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.75,5
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.78,5
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.79,20
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,75
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,20
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,3
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,8
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,0.53
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,0.34
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,3
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.71,1
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,10
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,15
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,20
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.77,10
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.78,36
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.13
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.095
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.8
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.13
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.065
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.68
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.29
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,3
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.8
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.64
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.26
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,8
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.12
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,4
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,7
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,0.51
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,0.5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,56
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,6
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,3
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,17
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,13
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,7
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,4
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,0.5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,13
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.78,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,4
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.76,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.76,20
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.76,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.76,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,2
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.75,1
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,51
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,75
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,15
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,30
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,30
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.74,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.76,25
NEW,C,OC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,20
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,13
NEW,C,PC,Credit:Index:CDX:CDXIG,Novation,0.75,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,75
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.52,180
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.75,22
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,31
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,25
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,12
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,56
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,12
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,110
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,56
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,20
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.59,0.9
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,12
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,12
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.68,1
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,6
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.76,0.0001
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,6
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.02,15
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.02,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,75
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,0.54
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,73
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,20
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Amendment,0.75,5
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.03,13
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,28
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,28
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,25
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.03,13
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.77,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,23
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.76,50
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,2.13,5
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,2.13,5
NEW,C,FC,Credit:Index:CDX:CDXIG,Partialtermination,4.08,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.67,5
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.66,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,28
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.03,28
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,35
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,0.72
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.73,4
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,2
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,53
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.06,100
NEW,C,PC,Credit:Index:CDX:CDXIG,Novation,0.66,0.3
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,35
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,2
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.73,35
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.8,10
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.78,15
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,0.5
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.72,10
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,0.4
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.7,0.48
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.7,6
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1,23
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.08,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,9
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,9
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.69,20
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.76,20
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.69,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Partialtermination,0.68,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,0.82
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,43
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,43
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,0.82
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.34,82
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.08,8
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.57,200
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.08,30
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.68,110
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.67,20
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.46,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.46,45
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.46,64
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.5,15
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.68,13
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.45,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.67,11
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.68,11
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,25
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.7,50
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,5
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,0.24
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,0.26
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,2
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.69,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.7,74
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.7,11
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.68,0.48
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,12
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,56
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.7,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,31
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,54
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,17
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,39
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,10
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,59
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.7,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,70
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.78,12
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.67,3
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.67,45
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.49,59
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,100
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.68,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,2
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.69,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.61,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.61,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,11
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.66,25
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,20
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.56,41
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.08,67
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,63
NEW,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.08,67
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.68,10
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,35
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.64,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,50
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,100
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.64,16
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.25,200
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.54,200
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,72
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.54,45
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.54,45
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.64,37
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,13
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,33
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,28
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,100
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,4
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.66,10
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,17
NEW,C,PC,Credit:Index:CDX:CDXIG,Novation,0.65,12
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,21
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,35
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,4
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.65,110
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,20
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,20
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.6,0.65
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.46,180
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,100
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.07,77
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,49
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,77
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,77
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,22
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.06,50
NEW,C,OC,Credit:Index:CDX:CDXIG,Trade,0.66,100
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.14,280
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.6,2
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.67,4
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.18,320
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.46,28
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.75,100
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,82
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,47
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,9
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.75,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,41
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,72
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,54
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.68,11
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.8,9
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,0.66,1
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.02,15
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,15
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.66,52
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.08,50
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,6
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.59,25
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.08,50
NEW,C,PC,Credit:Index:CDX:CDXIG,Novation,0.64,20
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.64,110
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.26,17
NEW,C,OC,Credit:Index:CDX:CDXIG,Trade,0.26,17
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.64,12
